,lead_id,month,year,numberOfAppointments,numberOfCalls,callTimeMinute,numberofStatuses,hoursSinceCall,isCust
185,1257,7,2019,8,22,13.52,9,5630,0
186,1258,7,2019,5,12,8.23,4,5630,0
187,1259,7,2019,1,23,15.27,11,1128,0
188,1264,7,2019,1,2,4.18,1,1289,0
189,1265,7,2019,1,8,4.65,8,5874,0
190,1267,7,2019,5,7,11.48,3,3179,0
191,1268,7,2019,2,11,91.0,5,1346,1
192,1271,7,2019,1,4,9.2,1,1371,0
193,1272,7,2019,1,3,24.68,1,1461,0
194,1276,7,2019,3,18,7.65,5,3359,0
195,1278,7,2019,1,10,9.98,3,3395,0
196,1281,7,2019,2,31,115.75,8,1559,0
197,1283,7,2019,2,12,8.85,6,4928,0
198,1284,7,2019,2,18,106.13,8,3410,0
199,1286,7,2019,1,5,14.3,3,3553,0
200,1287,7,2019,1,20,30.12,11,3554,0
201,1291,6,2019,1,4,11.87,3,3644,0
202,1292,6,2019,2,23,14.73,8,1844,0
203,1293,6,2019,1,5,26.58,4,1868,0
204,1295,6,2019,1,19,16.5,6,3860,0
205,1297,6,2019,1,11,96.18,3,2038,0
206,1300,6,2019,1,14,11.77,2,2232,0
207,1301,6,2019,1,2,2.4,1,2233,0
208,1302,6,2019,1,5,7.1,4,4070,0
209,1304,6,2019,5,5,20.68,2,6804,0
210,1305,6,2019,1,4,114.62,2,2347,0
211,1306,6,2019,2,27,84.32,9,2356,0
212,1308,6,2019,5,19,6.6,10,6903,0
213,1312,5,2019,7,32,125.08,15,2533,0
214,1315,5,2019,1,3,2.02,4,7176,0
215,1316,5,2019,2,17,30.1,6,2677,0
216,1317,5,2019,1,19,29.17,5,4556,0
217,1318,5,2019,2,17,47.33,7,2711,0
218,1319,5,2019,3,19,101.05,9,4606,0
219,1320,5,2019,2,8,39.97,4,2749,0
220,1324,5,2019,1,23,81.42,9,2866,0
221,1326,5,2019,1,14,111.93,6,2922,0
222,1333,5,2019,5,30,25.13,4,3152,0
223,1337,4,2019,1,23,26.97,4,2993,0
224,1344,4,2019,2,20,12.28,3,3189,0
225,1348,4,2019,1,19,12.58,5,3216,0
226,1351,4,2019,1,25,23.42,5,3292,0
227,1353,4,2019,6,19,101.15,5,3385,0
228,1354,4,2019,6,23,59.47,7,3420,0
229,1355,4,2019,2,27,127.2,14,3479,0
230,1357,4,2019,1,3,5.9,2,3560,0
231,1358,4,2019,1,26,3.38,3,3578,0
232,1359,4,2019,4,28,110.42,6,3607,0
233,1362,3,2019,4,28,142.55,10,3893,0
234,1364,3,2019,1,14,24.67,4,3913,0
235,1368,3,2019,12,18,15.52,5,3922,0
236,1369,3,2019,6,7,7.63,2,3953,0
237,1370,3,2019,12,15,9.38,1,3978,0
238,1371,3,2019,11,11,6.32,1,3960,0
239,1372,3,2019,5,7,4.42,1,3990,0
240,1373,3,2019,5,13,138.72,12,4000,0
241,1374,3,2019,7,8,4.43,1,4002,0
242,1375,3,2019,1,2,5.65,2,4081,0
243,1377,3,2019,2,3,4.1,1,4143,0
244,1379,3,2019,12,19,67.82,7,4130,0
245,1380,3,2019,1,2,4.55,1,4134,0
246,1381,3,2019,3,5,9.6,1,4156,0
247,1382,3,2019,14,19,17.78,4,4149,0
248,1383,3,2019,13,16,25.0,1,4159,0
249,1384,3,2019,5,6,15.77,1,4191,0
250,1385,3,2019,9,29,25.12,2,4204,1
251,1391,3,2019,1,9,17.15,6,6361,0
252,1394,3,2019,8,9,17.13,1,4274,0
253,1395,3,2019,12,19,20.0,6,4272,0
254,1396,3,2019,13,18,19.68,7,4308,0
255,1397,3,2019,3,9,4.6,5,9101,0
256,1399,3,2019,4,16,119.62,7,4319,0
257,1400,3,2019,1,17,53.55,6,4330,0
258,1401,3,2019,5,6,3.68,2,9153,0
259,1404,3,2019,4,19,17.43,9,4365,0
260,1408,3,2019,1,3,2.97,3,6503,0
261,1410,2,2019,6,14,138.62,5,4388,0
262,1423,2,2019,1,11,28.72,6,4611,0
263,1430,2,2019,1,19,116.05,7,6767,1
264,1433,2,2019,1,18,42.73,7,5601,0
265,1449,1,2019,1,6,14.77,4,6239,0
266,1453,8,2019,2,17,53.63,3,0,0
267,1454,8,2019,1,2,15.53,3,0,0
268,1457,8,2019,4,16,147.48,11,0,0
269,1458,8,2019,4,10,89.88,5,0,0
270,1459,8,2019,2,11,29.23,6,11,0
271,1460,8,2019,1,11,33.83,3,1,0
272,1462,8,2019,17,22,11.35,6,4516,0
273,1467,8,2019,1,3,25.2,5,867,0
274,1468,8,2019,20,42,120.48,6,1042,0
275,1469,8,2019,3,23,77.23,10,729,0
276,1471,8,2019,4,10,13.68,4,683,0
277,1472,7,2019,1,10,14.87,3,918,0
278,1477,7,2019,7,18,62.12,9,781,0
279,1490,7,2019,3,16,26.35,6,1251,0
280,1492,7,2019,1,17,21.23,7,1318,0
281,1493,7,2019,15,22,76.85,11,1370,0
282,1496,7,2019,7,10,13.28,1,1382,0
283,1498,7,2019,1,9,7.15,7,1452,0
284,1499,6,2019,1,3,3.2,2,1509,0
285,1500,6,2019,1,2,4.3,1,1538,0
286,1502,6,2019,1,2,5.48,2,1624,0
287,1503,6,2019,1,2,2.37,1,1628,0
288,1504,6,2019,13,36,35.9,10,1802,0
289,1505,6,2019,2,2,4.33,1,1639,0
290,1506,6,2019,17,19,8.53,4,1682,0
291,1507,6,2019,1,2,3.57,1,1703,0
292,1508,6,2019,4,5,3.98,2,1704,0
293,1514,8,2019,4,7,80.17,7,174,0
294,1515,8,2019,2,9,100.63,4,294,0
295,1517,8,2019,2,24,8.13,6,247,0
296,1518,8,2019,6,35,190.12,7,297,0
297,1519,8,2019,20,31,42.07,8,550,0
298,1520,8,2019,4,13,24.48,6,472,0
299,1524,7,2019,5,23,13.53,3,1292,0
300,1525,7,2019,1,19,8.43,6,891,0
301,1530,8,2019,2,20,128.52,10,0,0
302,1531,8,2019,3,5,70.82,2,175,0
303,1539,8,2019,1,3,3.0,1,369,0
304,1541,8,2019,1,5,1.58,6,429,0
305,1543,8,2019,1,2,1.18,2,431,0
306,1544,8,2019,5,19,13.1,8,444,0
307,1545,8,2019,2,4,1.28,1,1407,0
308,1548,8,2019,6,17,65.22,5,512,1
309,1566,7,2019,1,2,0.08,3,1108,0
310,1579,7,2019,1,2,2.0,1,1337,0
311,1580,7,2019,2,7,4.93,5,1441,0
312,1582,7,2019,1,10,4.2,3,1484,0
313,1602,6,2019,1,10,16.6,3,1959,0
314,1608,6,2019,2,15,103.58,3,1920,0
315,1616,5,2019,2,16,47.7,4,2765,0
316,1618,5,2019,2,16,31.28,6,2882,0
317,1622,4,2019,3,17,15.23,4,3268,0
318,1623,4,2019,1,9,102.33,9,3277,0
319,1627,4,2019,1,3,1.72,3,3359,0
320,1628,4,2019,2,14,106.55,3,3377,1
321,1629,4,2019,3,14,65.83,3,3381,0
322,1632,4,2019,2,10,34.15,4,3545,0
323,1633,4,2019,1,4,3.02,1,3565,0
324,1638,4,2019,1,5,19.15,2,3625,0
325,1639,4,2019,1,4,2.27,3,3651,0
326,1644,3,2019,2,20,34.9,3,3969,0
327,1646,3,2019,1,10,4.77,2,3993,0
328,1647,3,2019,2,10,47.52,3,4141,0
329,1648,3,2019,1,4,11.32,2,4230,0
330,1652,3,2019,1,8,40.3,7,4257,0
331,1654,3,2019,5,15,90.22,8,4012,0
332,1656,3,2019,3,13,77.83,8,4372,0
333,1667,2,2019,1,7,8.7,1,4918,0
334,1669,2,2019,1,20,20.0,4,4966,0
335,1672,2,2019,1,9,33.67,3,5007,1
336,1673,2,2019,2,4,4.35,5,5140,0
337,1675,1,2019,2,8,96.98,4,5594,0
338,1687,8,2019,7,34,82.68,15,0,0
339,1688,8,2019,1,14,134.3,8,0,0
340,1689,8,2019,9,22,62.73,7,0,0
341,1695,8,2019,1,10,181.93,3,0,1
342,1696,8,2019,4,14,12.75,6,0,0
343,1697,8,2019,1,19,332.27,5,0,1
344,1700,8,2019,4,22,15.57,7,12,0
345,1710,8,2019,12,16,40.2,5,0,0
346,1711,8,2019,1,7,47.45,5,0,0
347,1714,8,2019,6,9,22.32,9,0,0
348,1716,8,2019,2,12,74.12,8,0,0
349,1717,8,2019,6,20,40.23,14,316,0
350,1719,5,2019,4,10,123.28,2,2690,1
351,1721,3,2019,1,15,22.38,4,3816,0
352,1724,1,2019,2,35,136.5,11,5740,0
353,1725,8,2019,7,13,107.82,6,0,0
354,1741,6,2019,2,25,111.68,4,1576,0
355,1743,6,2019,1,4,8.05,4,1579,0
356,1748,4,2019,1,18,16.85,7,3344,0
357,1749,8,2019,1,6,54.12,4,5,1
358,1750,8,2019,3,19,13.23,6,79,0
359,1751,1,2019,3,6,19.67,5,10275,0
360,1752,1,2019,6,18,7.3,11,10275,0
361,1753,8,2019,2,19,2.4,3,794,0
362,1754,8,2019,6,24,50.2,8,4,0
363,1755,8,2019,1,19,11.83,9,7,0
364,1756,8,2019,2,12,38.07,3,115,1
365,1757,8,2019,10,19,21.63,6,567,0
366,1758,8,2019,12,19,28.75,5,1320,0
367,1759,8,2019,3,12,14.63,5,415,0
368,1760,8,2019,3,11,61.43,10,79,1
369,1761,8,2019,9,25,6.88,5,500,0
370,1762,8,2019,1,14,210.67,2,861,1
371,1763,8,2019,4,9,5.08,3,1023,0
372,1766,8,2019,12,18,18.32,5,831,0
373,1767,8,2019,3,15,27.8,6,536,0
374,1769,7,2019,9,15,32.73,3,1678,0
375,1770,7,2019,1,19,18.02,10,2252,0
376,1771,7,2019,6,16,25.68,8,2612,0
377,1772,7,2019,11,18,18.22,4,2563,0
378,1773,7,2019,1,2,2.6,2,764,0
379,1775,7,2019,12,20,25.22,6,2730,0
380,1776,7,2019,3,25,45.18,8,2730,0
381,1779,7,2019,2,19,13.3,6,2751,0
382,1780,7,2019,9,17,32.92,10,2756,0
383,1781,7,2019,11,19,9.43,7,901,0
384,1782,7,2019,5,7,11.55,2,2613,0
385,1783,7,2019,1,19,31.15,10,2635,0
386,1786,7,2019,2,16,6.9,7,2731,0
387,1788,7,2019,5,19,17.33,11,718,0
388,1789,7,2019,11,19,107.12,6,2635,0
389,1791,7,2019,2,6,3.63,2,2636,0
390,1792,7,2019,11,17,41.92,7,2731,0
391,1793,7,2019,2,19,9.45,6,598,0
392,1794,7,2019,1,15,12.15,4,902,0
393,1795,7,2019,5,19,28.13,6,815,0
394,1796,7,2019,1,17,11.55,7,985,0
395,1799,7,2019,2,19,47.43,8,1249,0
396,1801,7,2019,2,19,39.95,7,1540,0
397,1803,6,2019,2,25,13.82,5,1641,0
398,1804,6,2019,3,16,194.0,5,1490,0
399,1805,6,2019,1,1,18.02,1,1465,0
400,1806,4,2019,1,8,4.22,2,3093,0
401,1807,8,2019,2,9,14.38,5,75,1
402,1825,7,2019,5,36,38.73,6,1021,0
403,1829,7,2019,4,21,4.88,4,1658,0
404,1844,8,2019,2,19,14.72,8,2306,0
405,1845,8,2019,1,14,31.0,8,2193,0
406,1848,8,2019,1,19,8.9,5,118,0
407,1849,8,2019,1,4,15.18,3,2473,0
408,1850,8,2019,11,24,126.67,5,2509,0
409,1851,8,2019,6,19,49.35,10,2522,0
410,1853,8,2019,4,11,17.4,5,2828,0
411,1855,7,2019,2,44,448.32,13,2856,0
412,1860,7,2019,1,7,14.62,4,3315,0
413,1863,5,2019,1,27,78.47,8,4442,0
414,1868,5,2019,1,10,19.92,6,4872,0
415,1870,5,2019,1,18,13.82,6,4876,0
416,1877,5,2019,2,19,23.05,9,4888,0
417,1881,4,2019,15,31,97.22,13,5400,0
418,1884,3,2019,13,22,47.43,11,8857,0
419,1887,3,2019,2,3,6.55,1,9162,0
420,1888,8,2019,1,17,36.1,3,0,0
421,1930,8,2019,1,10,29.87,2,1189,1
422,2023,6,2019,1,7,3.88,5,1958,0
423,2122,8,2019,1,9,254.55,3,12,1
424,2123,8,2019,1,4,23.63,3,12,0
425,2124,8,2019,1,12,109.47,4,12,1
426,2132,8,2019,2,13,137.55,6,0,1
427,2134,8,2019,1,19,26.57,7,0,0
428,2144,8,2019,1,2,123.7,6,0,0
429,2145,8,2019,1,8,186.62,3,0,0
430,2148,8,2019,2,20,33.75,7,51,0
431,2161,8,2019,3,21,41.75,12,45,0
432,2168,8,2019,2,6,28.8,4,13,0
433,2175,8,2019,7,34,136.55,9,5,0
434,2177,8,2019,4,6,126.62,8,4,0
435,2182,8,2019,1,15,97.13,4,2,0
436,2194,8,2019,6,15,60.62,6,27,0
437,2199,8,2019,2,21,42.88,14,25,0
438,2203,8,2019,2,14,122.75,6,21,1
439,2213,8,2019,7,23,102.4,11,13,0
440,2218,8,2019,2,17,188.47,4,11,1
441,2222,8,2019,2,3,31.68,3,9,0
442,2224,8,2019,2,14,15.58,6,8,0
443,2229,8,2019,4,27,192.95,9,4,1
444,2230,8,2019,1,17,19.42,4,2,0
445,2231,8,2019,4,14,20.25,8,1,0
446,2232,8,2019,2,19,32.62,7,0,0
447,2236,8,2019,4,17,68.48,13,0,0
448,2239,8,2019,3,11,61.52,10,2,0
449,2240,8,2019,8,13,173.43,5,1,0
450,2244,8,2019,3,22,57.28,6,0,1
451,2245,8,2019,1,3,16.73,3,0,0
452,2247,8,2019,1,22,66.58,7,2,0
453,2251,8,2019,2,19,34.72,10,1,0
454,2254,8,2019,1,2,31.42,3,0,0
455,2256,8,2019,1,12,98.07,7,0,0
456,2262,8,2019,2,38,130.22,8,0,0
457,2278,8,2019,3,36,49.43,8,12,0
458,2292,8,2019,9,21,125.9,10,3,0
459,2304,8,2019,1,2,0.47,4,1,0
460,2305,8,2019,1,13,167.28,3,23,1
461,2306,8,2019,2,11,88.23,4,23,0
462,2309,8,2019,5,11,53.17,4,26,0
463,2310,8,2019,2,19,26.52,8,4,0
464,2314,8,2019,6,9,142.2,4,3,0
465,2315,8,2019,9,14,35.07,2,0,0
466,2317,8,2019,1,28,19.05,24,10557,0
467,2319,8,2019,1,13,22.0,6,0,0
468,2327,8,2019,4,7,13.02,3,0,0
469,2332,8,2019,1,19,34.18,7,12,0
470,2343,8,2019,14,22,34.15,5,3,0
471,2351,8,2019,2,19,26.23,8,0,0
472,2387,8,2019,2,3,3.55,1,192,0
473,2390,8,2019,2,4,21.78,6,268,0
474,2391,8,2019,2,19,49.43,7,303,0
475,2392,8,2019,3,13,11.4,3,271,0
476,2393,8,2019,9,30,156.63,8,312,0
477,2394,8,2019,6,19,103.1,6,346,0
478,2395,8,2019,2,7,51.75,3,407,0
479,2398,8,2019,3,13,81.72,6,553,0
480,2399,8,2019,1,2,2.48,3,4894,0
481,2400,8,2019,2,3,5.65,1,859,0
482,2401,7,2019,1,3,5.77,1,1535,0
483,2410,1,2019,1,1,5.35,1,5403,0
484,2413,1,2019,2,7,25.87,1,5711,0
485,2415,8,2019,13,15,36.6,4,0,0
486,2416,8,2019,3,8,41.8,6,2619,0
487,2418,8,2019,4,23,24.4,7,2,0
488,2419,8,2019,1,19,17.2,11,1078,0
489,2422,8,2019,4,22,81.68,4,1149,0
490,2425,8,2019,1,16,9.55,7,1196,0
491,2427,8,2019,3,13,32.7,7,1486,0
492,2428,8,2019,1,27,36.55,9,1297,0
493,2441,5,2019,3,50,261.3,20,3120,0
494,2466,8,2019,1,19,31.97,6,0,0
495,2471,8,2019,2,8,32.33,6,0,0
496,2478,8,2019,4,10,66.23,6,1,0
497,2480,8,2019,1,31,90.03,7,0,0
498,2481,8,2019,3,5,10.98,6,0,0
499,2490,8,2019,10,21,47.85,15,9,0
500,2491,8,2019,1,10,29.33,4,9,0
501,2505,8,2019,3,19,83.02,5,198,0
502,2507,8,2019,5,18,104.08,7,228,0
503,2510,8,2019,2,21,85.03,9,603,0
504,2511,8,2019,1,9,41.45,5,648,0
505,2512,8,2019,2,3,34.67,3,679,1
506,2514,8,2019,1,3,1.25,2,631,0
507,2518,7,2019,1,5,5.22,3,960,0
508,2520,7,2019,1,9,101.35,3,1008,0
509,2521,7,2019,1,3,2.7,3,1020,0
510,2522,7,2019,4,30,72.58,12,1053,0
511,2524,7,2019,1,4,3.9,2,1119,0
512,2528,7,2019,2,9,6.15,1,1392,0
513,2535,7,2019,1,5,20.32,4,1576,0
514,2537,7,2019,3,7,7.07,4,1736,0
515,2541,6,2019,2,6,40.4,6,1934,0
516,2547,6,2019,1,5,13.4,4,2207,0
517,2549,6,2019,2,9,68.53,4,2227,0
518,2554,5,2019,1,10,6.6,5,2571,0
519,2567,4,2019,1,29,29.58,6,3456,0
520,2572,2,2019,1,3,2.7,2,4629,0
521,2578,2,2019,1,6,3.9,2,5165,0
522,2579,1,2019,1,12,11.02,5,5258,0
523,2587,1,2019,1,7,5.58,2,5426,0
524,2588,1,2019,1,2,1.4,1,5431,0
525,2589,1,2019,1,4,0.97,1,5430,0
526,2591,1,2019,5,26,154.12,5,9464,1
527,2592,1,2019,4,6,41.38,4,5663,0
528,2593,1,2019,1,5,23.03,1,5546,0
529,2594,8,2019,5,18,27.08,12,0,0
530,2599,8,2019,3,7,31.27,2,22,0
531,2603,8,2019,6,41,343.85,13,937,1
532,2610,8,2019,1,19,40.15,5,0,0
533,2621,8,2019,1,19,28.78,5,0,0
534,2623,8,2019,2,4,144.93,3,0,0
535,2624,8,2019,6,13,9.82,4,0,0
536,2625,8,2019,2,8,66.1,4,11,0
537,2627,8,2019,9,24,116.3,4,10,1
538,2632,8,2019,1,15,14.3,6,0,0
539,2635,8,2019,12,24,32.02,4,99,0
540,2636,8,2019,2,6,135.63,5,6,0
541,2637,8,2019,1,29,97.25,11,0,0
542,2645,8,2019,1,19,123.88,9,912,0
543,2652,8,2019,2,3,84.62,2,127,0
544,2653,8,2019,2,11,52.78,3,195,0
545,2655,8,2019,1,4,2.15,2,258,0
546,2656,8,2019,2,6,11.78,4,360,0
547,2658,8,2019,2,6,10.9,2,282,0
548,2662,8,2019,2,2,2.57,2,673,0
549,2664,7,2019,2,7,23.77,6,1245,0
550,2665,7,2019,1,8,77.82,3,1103,0
551,2668,7,2019,3,46,338.15,13,886,1
552,2676,7,2019,1,5,16.55,6,1540,0
553,2682,7,2019,1,49,36.37,7,1708,0
554,2732,4,2019,1,2,0.67,3,3701,0
555,2733,4,2019,2,6,103.45,4,3959,1
556,2738,3,2019,1,1,0.95,3,4369,0
557,2741,3,2019,1,1,1.38,1,4112,0
558,2745,3,2019,1,3,13.97,3,4298,0
559,2760,8,2019,1,8,99.42,7,0,0
560,2761,8,2019,1,19,42.23,9,0,0
561,2768,8,2019,2,20,83.62,4,9,0
562,2770,8,2019,1,3,40.63,3,8,0
563,2772,8,2019,1,9,20.02,3,3,0
564,2777,8,2019,1,13,139.07,4,0,0
565,2778,8,2019,6,25,44.28,6,0,0
566,2782,8,2019,1,13,106.02,4,103,0
567,2784,8,2019,1,9,117.7,3,0,1
568,2815,9,2019,1,10,35.3,4,74,0
569,2817,9,2019,2,3,71.35,3,73,0
