,month,year,numberOfAppointments,numberOfCalls,callTimeMinute,numberofStatuses,hoursSinceCall,isCust
105,6,2019,1,62,237.58,6,11903,1
106,6,2019,4,28,42.62,7,2013,0
107,5,2019,1,21,21.57,10,2015,0
108,5,2019,1,2,78.45,3,4159,0
109,5,2019,1,4,6.0,5,2258,0
110,5,2019,2,18,6.27,10,2100,0
111,5,2019,2,21,35.93,11,2129,0
112,5,2019,2,13,109.48,9,2305,1
113,5,2019,1,15,7.22,9,7505,0
114,5,2019,4,12,52.28,6,2596,0
115,4,2019,1,12,147.75,11,3716,1
116,8,2019,2,9,58.93,6,61,0
117,8,2019,8,9,31.18,5,1,0
118,8,2019,15,27,48.37,5,0,0
119,8,2019,1,10,164.7,4,48,1
120,8,2019,1,4,132.2,3,71,0
121,8,2019,7,39,17.13,11,153,0
122,7,2019,4,43,253.72,17,1228,0
123,8,2019,22,30,47.35,11,30,0
124,8,2019,2,20,62.58,5,14,1
125,8,2019,5,20,28.23,6,3,0
126,8,2019,7,16,18.75,8,881,0
127,7,2019,1,5,1.73,1,2544,0
128,7,2019,1,4,2.17,3,1176,0
129,7,2019,1,13,113.43,5,1084,0
130,7,2019,1,5,2.53,1,1498,0
131,7,2019,1,8,19.4,4,1514,0
132,6,2019,1,3,8.72,1,2233,1
133,5,2019,3,7,10.55,4,3047,0
134,5,2019,2,6,62.72,1,3380,0
135,5,2019,1,3,2.83,4,3003,0
136,4,2019,5,22,125.5,3,3367,1
137,4,2019,1,9,2.83,4,3604,0
138,3,2019,1,7,5.8,3,4036,0
139,2,2019,1,3,1.1,2,4783,0
140,2,2019,1,40,425.6,7,5073,1
141,1,2019,1,10,5.38,6,5549,0
142,1,2019,1,3,2.58,1,5549,0
143,8,2019,1,2,15.37,4,0,0
144,8,2019,5,46,155.93,15,14,1
145,8,2019,15,29,33.33,7,13,0
146,8,2019,4,17,36.63,11,9,0
147,8,2019,4,7,12.17,2,193,0
148,8,2019,4,17,11.17,6,248,0
149,7,2019,1,2,2.22,1,724,0
150,7,2019,1,13,15.13,4,1312,0
151,7,2019,5,21,56.3,14,1325,0
152,6,2019,1,4,3.67,1,1492,0
153,6,2019,2,23,13.33,7,1417,0
154,6,2019,3,52,101.52,10,2217,0
155,6,2019,2,1,0.32,1,2109,0
156,6,2019,2,21,25.42,7,2597,0
157,5,2019,1,3,6.7,1,2183,0
158,5,2019,3,16,88.43,4,2259,0
159,5,2019,2,11,11.15,2,2265,0
160,5,2019,1,3,3.7,3,2568,0
161,5,2019,2,3,12.42,1,5735,0
162,5,2019,2,18,148.08,9,2687,1
163,5,2019,1,1,0.48,1,2621,0
164,5,2019,1,21,25.12,14,2896,0
165,5,2019,1,7,101.12,3,3090,0
166,5,2019,2,23,54.73,21,3096,0
167,5,2019,2,20,19.7,9,3141,0
168,4,2019,1,22,11.58,7,2963,0
169,4,2019,2,22,33.38,5,3268,0
170,4,2019,1,5,3.78,4,3739,0
171,3,2019,1,17,21.63,2,3724,0
172,3,2019,2,6,9.9,1,4040,0
173,3,2019,2,3,4.72,1,3794,0
174,3,2019,2,9,78.08,2,3977,0
175,3,2019,5,23,11.65,6,4242,0
176,3,2019,17,2,1.4,3,4159,0
177,3,2019,1,3,4.87,2,4522,0
178,2,2019,1,53,81.6,3,4786,1
179,2,2019,3,25,133.43,2,5141,1
180,1,2019,4,5,22.55,2,4924,0
181,8,2019,4,5,3.33,2,5182,0
182,7,2019,4,5,5.45,2,5532,0
183,7,2019,7,30,22.22,15,5544,0
184,7,2019,9,23,46.87,14,2924,0
185,7,2019,8,22,13.52,9,5630,0
186,7,2019,5,12,8.23,4,5630,0
187,7,2019,1,23,15.27,11,1128,0
188,7,2019,1,2,4.18,1,1289,0
189,7,2019,1,8,4.65,8,5874,0
190,7,2019,5,7,11.48,3,3179,0
191,7,2019,2,11,91.0,5,1346,1
192,7,2019,1,4,9.2,1,1371,0
193,7,2019,1,3,24.68,1,1461,0
194,7,2019,3,18,7.65,5,3359,0
195,7,2019,1,10,9.98,3,3395,0
196,7,2019,2,31,115.75,8,1559,0
197,7,2019,2,12,8.85,6,4928,0
198,7,2019,2,18,106.13,8,3410,0
199,7,2019,1,5,14.3,3,3553,0
200,7,2019,1,20,30.12,11,3554,0
201,6,2019,1,4,11.87,3,3644,0
202,6,2019,2,23,14.73,8,1844,0
203,6,2019,1,5,26.58,4,1868,0
204,6,2019,1,19,16.5,6,3860,0
205,6,2019,1,11,96.18,3,2038,0
206,6,2019,1,14,11.77,2,2232,0
207,6,2019,1,2,2.4,1,2233,0
208,6,2019,1,5,7.1,4,4070,0
209,6,2019,5,5,20.68,2,6804,0
210,6,2019,1,4,114.62,2,2347,0
211,6,2019,2,27,84.32,9,2356,0
212,6,2019,5,19,6.6,10,6903,0
213,5,2019,7,32,125.08,15,2533,0
214,5,2019,1,3,2.02,4,7176,0
215,5,2019,2,17,30.1,6,2677,0
216,5,2019,1,19,29.17,5,4556,0
217,5,2019,2,17,47.33,7,2711,0
218,5,2019,3,19,101.05,9,4606,0
219,5,2019,2,8,39.97,4,2749,0
220,5,2019,1,23,81.42,9,2866,0
221,5,2019,1,14,111.93,6,2922,0
222,5,2019,5,30,25.13,4,3152,0
223,4,2019,1,23,26.97,4,2993,0
224,4,2019,2,20,12.28,3,3189,0
225,4,2019,1,19,12.58,5,3216,0
226,4,2019,1,25,23.42,5,3292,0
227,4,2019,6,19,101.15,5,3385,0
228,4,2019,6,23,59.47,7,3420,0
229,4,2019,2,27,127.2,14,3479,0
230,4,2019,1,3,5.9,2,3560,0
231,4,2019,1,26,3.38,3,3578,0
232,4,2019,4,28,110.42,6,3607,0
233,3,2019,4,28,142.55,10,3893,0
234,3,2019,1,14,24.67,4,3913,0
235,3,2019,12,18,15.52,5,3922,0
236,3,2019,6,7,7.63,2,3953,0
237,3,2019,12,15,9.38,1,3978,0
238,3,2019,11,11,6.32,1,3960,0
239,3,2019,5,7,4.42,1,3990,0
240,3,2019,5,13,138.72,12,4000,0
241,3,2019,7,8,4.43,1,4002,0
242,3,2019,1,2,5.65,2,4081,0
243,3,2019,2,3,4.1,1,4143,0
244,3,2019,12,19,67.82,7,4130,0
245,3,2019,1,2,4.55,1,4134,0
246,3,2019,3,5,9.6,1,4156,0
247,3,2019,14,19,17.78,4,4149,0
248,3,2019,13,16,25.0,1,4159,0
249,3,2019,5,6,15.77,1,4191,0
250,3,2019,9,29,25.12,2,4204,1
251,3,2019,1,9,17.15,6,6361,0
252,3,2019,8,9,17.13,1,4274,0
253,3,2019,12,19,20.0,6,4272,0
254,3,2019,13,18,19.68,7,4308,0
255,3,2019,3,9,4.6,5,9101,0
256,3,2019,4,16,119.62,7,4319,0
257,3,2019,1,17,53.55,6,4330,0
258,3,2019,5,6,3.68,2,9153,0
259,3,2019,4,19,17.43,9,4365,0
260,3,2019,1,3,2.97,3,6503,0
261,2,2019,6,14,138.62,5,4388,0
262,2,2019,1,11,28.72,6,4611,0
263,2,2019,1,19,116.05,7,6767,1
264,2,2019,1,18,42.73,7,5601,0
265,1,2019,1,6,14.77,4,6239,0
266,8,2019,2,17,53.63,3,0,0
267,8,2019,1,2,15.53,3,0,0
268,8,2019,4,16,147.48,11,0,0
269,8,2019,4,10,89.88,5,0,0
270,8,2019,2,11,29.23,6,11,0
271,8,2019,1,11,33.83,3,1,0
272,8,2019,17,22,11.35,6,4516,0
273,8,2019,1,3,25.2,5,867,0
274,8,2019,20,42,120.48,6,1042,0
275,8,2019,3,23,77.23,10,729,0
276,8,2019,4,10,13.68,4,683,0
277,7,2019,1,10,14.87,3,918,0
278,7,2019,7,18,62.12,9,781,0
279,7,2019,3,16,26.35,6,1251,0
280,7,2019,1,17,21.23,7,1318,0
281,7,2019,15,22,76.85,11,1370,0
282,7,2019,7,10,13.28,1,1382,0
283,7,2019,1,9,7.15,7,1452,0
284,6,2019,1,3,3.2,2,1509,0
285,6,2019,1,2,4.3,1,1538,0
286,6,2019,1,2,5.48,2,1624,0
287,6,2019,1,2,2.37,1,1628,0
288,6,2019,13,36,35.9,10,1802,0
289,6,2019,2,2,4.33,1,1639,0
290,6,2019,17,19,8.53,4,1682,0
291,6,2019,1,2,3.57,1,1703,0
292,6,2019,4,5,3.98,2,1704,0
293,8,2019,4,7,80.17,7,174,0
294,8,2019,2,9,100.63,4,294,0
295,8,2019,2,24,8.13,6,247,0
296,8,2019,6,35,190.12,7,297,0
297,8,2019,20,31,42.07,8,550,0
298,8,2019,4,13,24.48,6,472,0
299,7,2019,5,23,13.53,3,1292,0
300,7,2019,1,19,8.43,6,891,0
301,8,2019,2,20,128.52,10,0,0
302,8,2019,3,5,70.82,2,175,0
303,8,2019,1,3,3.0,1,369,0
304,8,2019,1,5,1.58,6,429,0
305,8,2019,1,2,1.18,2,431,0
306,8,2019,5,19,13.1,8,444,0
307,8,2019,2,4,1.28,1,1407,0
308,8,2019,6,17,65.22,5,512,1
309,7,2019,1,2,0.08,3,1108,0
310,7,2019,1,2,2.0,1,1337,0
311,7,2019,2,7,4.93,5,1441,0
312,7,2019,1,10,4.2,3,1484,0
313,6,2019,1,10,16.6,3,1959,0
314,6,2019,2,15,103.58,3,1920,0
315,5,2019,2,16,47.7,4,2765,0
316,5,2019,2,16,31.28,6,2882,0
317,4,2019,3,17,15.23,4,3268,0
318,4,2019,1,9,102.33,9,3277,0
319,4,2019,1,3,1.72,3,3359,0
320,4,2019,2,14,106.55,3,3377,1
321,4,2019,3,14,65.83,3,3381,0
322,4,2019,2,10,34.15,4,3545,0
323,4,2019,1,4,3.02,1,3565,0
324,4,2019,1,5,19.15,2,3625,0
325,4,2019,1,4,2.27,3,3651,0
326,3,2019,2,20,34.9,3,3969,0
327,3,2019,1,10,4.77,2,3993,0
328,3,2019,2,10,47.52,3,4141,0
329,3,2019,1,4,11.32,2,4230,0
330,3,2019,1,8,40.3,7,4257,0
331,3,2019,5,15,90.22,8,4012,0
332,3,2019,3,13,77.83,8,4372,0
333,2,2019,1,7,8.7,1,4918,0
334,2,2019,1,20,20.0,4,4966,0
335,2,2019,1,9,33.67,3,5007,1
336,2,2019,2,4,4.35,5,5140,0
337,1,2019,2,8,96.98,4,5594,0
338,8,2019,7,34,82.68,15,0,0
339,8,2019,1,14,134.3,8,0,0
340,8,2019,9,22,62.73,7,0,0
341,8,2019,1,10,181.93,3,0,1
342,8,2019,4,14,12.75,6,0,0
343,8,2019,1,19,332.27,5,0,1
344,8,2019,4,22,15.57,7,12,0
345,8,2019,12,16,40.2,5,0,0
346,8,2019,1,7,47.45,5,0,0
347,8,2019,6,9,22.32,9,0,0
348,8,2019,2,12,74.12,8,0,0
349,8,2019,6,20,40.23,14,316,0
350,5,2019,4,10,123.28,2,2690,1
351,3,2019,1,15,22.38,4,3816,0
352,1,2019,2,35,136.5,11,5740,0
353,8,2019,7,13,107.82,6,0,0
354,6,2019,2,25,111.68,4,1576,0
355,6,2019,1,4,8.05,4,1579,0
356,4,2019,1,18,16.85,7,3344,0
357,8,2019,1,6,54.12,4,5,1
358,8,2019,3,19,13.23,6,79,0
359,1,2019,3,6,19.67,5,10275,0
360,1,2019,6,18,7.3,11,10275,0
361,8,2019,2,19,2.4,3,794,0
362,8,2019,6,24,50.2,8,4,0
363,8,2019,1,19,11.83,9,7,0
364,8,2019,2,12,38.07,3,115,1
365,8,2019,10,19,21.63,6,567,0
366,8,2019,12,19,28.75,5,1320,0
367,8,2019,3,12,14.63,5,415,0
368,8,2019,3,11,61.43,10,79,1
369,8,2019,9,25,6.88,5,500,0
370,8,2019,1,14,210.67,2,861,1
371,8,2019,4,9,5.08,3,1023,0
372,8,2019,12,18,18.32,5,831,0
373,8,2019,3,15,27.8,6,536,0
374,7,2019,9,15,32.73,3,1678,0
375,7,2019,1,19,18.02,10,2252,0
376,7,2019,6,16,25.68,8,2612,0
377,7,2019,11,18,18.22,4,2563,0
378,7,2019,1,2,2.6,2,764,0
379,7,2019,12,20,25.22,6,2730,0
380,7,2019,3,25,45.18,8,2730,0
381,7,2019,2,19,13.3,6,2751,0
382,7,2019,9,17,32.92,10,2756,0
383,7,2019,11,19,9.43,7,901,0
384,7,2019,5,7,11.55,2,2613,0
385,7,2019,1,19,31.15,10,2635,0
386,7,2019,2,16,6.9,7,2731,0
387,7,2019,5,19,17.33,11,718,0
388,7,2019,11,19,107.12,6,2635,0
389,7,2019,2,6,3.63,2,2636,0
390,7,2019,11,17,41.92,7,2731,0
391,7,2019,2,19,9.45,6,598,0
392,7,2019,1,15,12.15,4,902,0
393,7,2019,5,19,28.13,6,815,0
394,7,2019,1,17,11.55,7,985,0
395,7,2019,2,19,47.43,8,1249,0
396,7,2019,2,19,39.95,7,1540,0
397,6,2019,2,25,13.82,5,1641,0
398,6,2019,3,16,194.0,5,1490,0
399,6,2019,1,1,18.02,1,1465,0
400,4,2019,1,8,4.22,2,3093,0
401,8,2019,2,9,14.38,5,75,1
402,7,2019,5,36,38.73,6,1021,0
403,7,2019,4,21,4.88,4,1658,0
404,8,2019,2,19,14.72,8,2306,0
405,8,2019,1,14,31.0,8,2193,0
406,8,2019,1,19,8.9,5,118,0
407,8,2019,1,4,15.18,3,2473,0
408,8,2019,11,24,126.67,5,2509,0
409,8,2019,6,19,49.35,10,2522,0
410,8,2019,4,11,17.4,5,2828,0
411,7,2019,2,44,448.32,13,2856,0
412,7,2019,1,7,14.62,4,3315,0
413,5,2019,1,27,78.47,8,4442,0
414,5,2019,1,10,19.92,6,4872,0
415,5,2019,1,18,13.82,6,4876,0
416,5,2019,2,19,23.05,9,4888,0
417,4,2019,15,31,97.22,13,5400,0
418,3,2019,13,22,47.43,11,8857,0
419,3,2019,2,3,6.55,1,9162,0
420,8,2019,1,17,36.1,3,0,0
421,8,2019,1,10,29.87,2,1189,1
422,6,2019,1,7,3.88,5,1958,0
423,8,2019,1,9,254.55,3,12,1
424,8,2019,1,4,23.63,3,12,0
425,8,2019,1,12,109.47,4,12,1
426,8,2019,2,13,137.55,6,0,1
427,8,2019,1,19,26.57,7,0,0
428,8,2019,1,2,123.7,6,0,0
429,8,2019,1,8,186.62,3,0,0
430,8,2019,2,20,33.75,7,51,0
431,8,2019,3,21,41.75,12,45,0
432,8,2019,2,6,28.8,4,13,0
433,8,2019,7,34,136.55,9,5,0
434,8,2019,4,6,126.62,8,4,0
435,8,2019,1,15,97.13,4,2,0
436,8,2019,6,15,60.62,6,27,0
437,8,2019,2,21,42.88,14,25,0
438,8,2019,2,14,122.75,6,21,1
439,8,2019,7,23,102.4,11,13,0
440,8,2019,2,17,188.47,4,11,1
441,8,2019,2,3,31.68,3,9,0
442,8,2019,2,14,15.58,6,8,0
443,8,2019,4,27,192.95,9,4,1
444,8,2019,1,17,19.42,4,2,0
445,8,2019,4,14,20.25,8,1,0
446,8,2019,2,19,32.62,7,0,0
447,8,2019,4,17,68.48,13,0,0
448,8,2019,3,11,61.52,10,2,0
449,8,2019,8,13,173.43,5,1,0
450,8,2019,3,22,57.28,6,0,1
451,8,2019,1,3,16.73,3,0,0
452,8,2019,1,22,66.58,7,2,0
453,8,2019,2,19,34.72,10,1,0
454,8,2019,1,2,31.42,3,0,0
455,8,2019,1,12,98.07,7,0,0
456,8,2019,2,38,130.22,8,0,0
457,8,2019,3,36,49.43,8,12,0
458,8,2019,9,21,125.9,10,3,0
459,8,2019,1,2,0.47,4,1,0
460,8,2019,1,13,167.28,3,23,1
461,8,2019,2,11,88.23,4,23,0
462,8,2019,5,11,53.17,4,26,0
463,8,2019,2,19,26.52,8,4,0
464,8,2019,6,9,142.2,4,3,0
465,8,2019,9,14,35.07,2,0,0
466,8,2019,1,28,19.05,24,10557,0
467,8,2019,1,13,22.0,6,0,0
468,8,2019,4,7,13.02,3,0,0
469,8,2019,1,19,34.18,7,12,0
470,8,2019,14,22,34.15,5,3,0
471,8,2019,2,19,26.23,8,0,0
472,8,2019,2,3,3.55,1,192,0
473,8,2019,2,4,21.78,6,268,0
474,8,2019,2,19,49.43,7,303,0
475,8,2019,3,13,11.4,3,271,0
476,8,2019,9,30,156.63,8,312,0
477,8,2019,6,19,103.1,6,346,0
478,8,2019,2,7,51.75,3,407,0
479,8,2019,3,13,81.72,6,553,0
480,8,2019,1,2,2.48,3,4894,0
481,8,2019,2,3,5.65,1,859,0
482,7,2019,1,3,5.77,1,1535,0
483,1,2019,1,1,5.35,1,5403,0
484,1,2019,2,7,25.87,1,5711,0
485,8,2019,13,15,36.6,4,0,0
486,8,2019,3,8,41.8,6,2619,0
487,8,2019,4,23,24.4,7,2,0
488,8,2019,1,19,17.2,11,1078,0
489,8,2019,4,22,81.68,4,1149,0
490,8,2019,1,16,9.55,7,1196,0
491,8,2019,3,13,32.7,7,1486,0
492,8,2019,1,27,36.55,9,1297,0
493,5,2019,3,50,261.3,20,3120,0
494,8,2019,1,19,31.97,6,0,0
495,8,2019,2,8,32.33,6,0,0
496,8,2019,4,10,66.23,6,1,0
497,8,2019,1,31,90.03,7,0,0
498,8,2019,3,5,10.98,6,0,0
499,8,2019,10,21,47.85,15,9,0
500,8,2019,1,10,29.33,4,9,0
501,8,2019,3,19,83.02,5,198,0
502,8,2019,5,18,104.08,7,228,0
503,8,2019,2,21,85.03,9,603,0
504,8,2019,1,9,41.45,5,648,0
505,8,2019,2,3,34.67,3,679,1
506,8,2019,1,3,1.25,2,631,0
507,7,2019,1,5,5.22,3,960,0
508,7,2019,1,9,101.35,3,1008,0
509,7,2019,1,3,2.7,3,1020,0
510,7,2019,4,30,72.58,12,1053,0
511,7,2019,1,4,3.9,2,1119,0
512,7,2019,2,9,6.15,1,1392,0
513,7,2019,1,5,20.32,4,1576,0
514,7,2019,3,7,7.07,4,1736,0
515,6,2019,2,6,40.4,6,1934,0
516,6,2019,1,5,13.4,4,2207,0
517,6,2019,2,9,68.53,4,2227,0
518,5,2019,1,10,6.6,5,2571,0
519,4,2019,1,29,29.58,6,3456,0
520,2,2019,1,3,2.7,2,4629,0
521,2,2019,1,6,3.9,2,5165,0
522,1,2019,1,12,11.02,5,5258,0
523,1,2019,1,7,5.58,2,5426,0
524,1,2019,1,2,1.4,1,5431,0
525,1,2019,1,4,0.97,1,5430,0
526,1,2019,5,26,154.12,5,9464,1
527,1,2019,4,6,41.38,4,5663,0
528,1,2019,1,5,23.03,1,5546,0
529,8,2019,5,18,27.08,12,0,0
530,8,2019,3,7,31.27,2,22,0
531,8,2019,6,41,343.85,13,937,1
532,8,2019,1,19,40.15,5,0,0
533,8,2019,1,19,28.78,5,0,0
534,8,2019,2,4,144.93,3,0,0
535,8,2019,6,13,9.82,4,0,0
536,8,2019,2,8,66.1,4,11,0
537,8,2019,9,24,116.3,4,10,1
538,8,2019,1,15,14.3,6,0,0
539,8,2019,12,24,32.02,4,99,0
540,8,2019,2,6,135.63,5,6,0
541,8,2019,1,29,97.25,11,0,0
542,8,2019,1,19,123.88,9,912,0
543,8,2019,2,3,84.62,2,127,0
544,8,2019,2,11,52.78,3,195,0
545,8,2019,1,4,2.15,2,258,0
546,8,2019,2,6,11.78,4,360,0
547,8,2019,2,6,10.9,2,282,0
548,8,2019,2,2,2.57,2,673,0
549,7,2019,2,7,23.77,6,1245,0
550,7,2019,1,8,77.82,3,1103,0
551,7,2019,3,46,338.15,13,886,1
552,7,2019,1,5,16.55,6,1540,0
553,7,2019,1,49,36.37,7,1708,0
554,4,2019,1,2,0.67,3,3701,0
555,4,2019,2,6,103.45,4,3959,1
556,3,2019,1,1,0.95,3,4369,0
557,3,2019,1,1,1.38,1,4112,0
558,3,2019,1,3,13.97,3,4298,0
559,8,2019,1,8,99.42,7,0,0
560,8,2019,1,19,42.23,9,0,0
561,8,2019,2,20,83.62,4,9,0
562,8,2019,1,3,40.63,3,8,0
563,8,2019,1,9,20.02,3,3,0
564,8,2019,1,13,139.07,4,0,0
565,8,2019,6,25,44.28,6,0,0
566,8,2019,1,13,106.02,4,103,0
567,8,2019,1,9,117.7,3,0,1
568,9,2019,1,10,35.3,4,74,0
569,9,2019,2,3,71.35,3,73,0
570,9,2019,2,15,35.6,6,73,0
571,9,2019,3,15,137.87,6,75,0
572,9,2019,1,2,26.15,2,53,0
573,9,2019,2,6,47.0,4,71,0
574,9,2019,2,28,32.78,9,68,0
575,9,2019,2,22,172.92,8,67,1
576,9,2019,2,6,60.9,5,57,0
577,9,2019,1,2,28.53,2,32,0
578,9,2019,1,3,113.5,2,20,1
579,9,2019,1,1,25.13,3,15,0
580,9,2019,5,33,202.75,15,14,0
581,9,2019,2,14,37.5,4,9,0
582,9,2019,2,16,110.1,5,4,0
583,9,2019,6,25,101.28,11,25,0
584,9,2019,2,12,40.48,6,50,0
585,9,2019,1,21,94.62,4,0,0
586,9,2019,6,31,221.07,11,29,0
587,9,2019,3,23,54.98,12,648,0
588,9,2019,1,21,117.3,6,0,0
589,9,2019,2,4,20.05,5,3,1
590,9,2019,3,3,39.22,3,0,0
591,9,2019,6,34,96.08,15,21,0
592,9,2019,4,10,32.87,3,0,0
593,9,2019,8,23,33.37,6,0,0
594,9,2019,1,19,25.32,5,0,0
595,9,2019,2,16,155.73,10,0,0
596,9,2019,1,19,29.85,7,14,0
597,9,2019,1,19,28.12,5,12,0
598,9,2019,1,10,81.03,3,12,1
599,9,2019,7,20,32.38,9,10,0
600,9,2019,1,19,17.82,6,7,0
601,9,2019,2,19,29.18,10,3,0
602,9,2019,4,17,28.22,4,799,0
603,9,2019,14,28,35.42,9,4,0
604,9,2019,2,5,16.65,3,0,0
605,9,2019,1,19,47.15,10,0,0
606,9,2019,1,13,27.02,5,122,0
607,9,2019,7,27,130.38,4,1,0
608,9,2019,7,28,146.75,10,0,1
609,9,2019,1,8,23.45,3,0,0
610,9,2019,8,15,175.68,6,0,0
611,9,2019,4,21,31.85,8,1,0
612,9,2019,4,23,120.8,6,1,0
613,9,2019,4,7,46.45,6,5,0
614,9,2019,1,7,172.23,2,52,1
615,9,2019,1,4,127.62,3,1,1
616,9,2019,2,17,104.52,6,20,0
617,9,2019,2,9,25.28,4,764,0
618,9,2019,1,2,17.27,2,0,0
619,9,2019,3,19,161.23,6,0,1
620,9,2019,1,8,92.82,4,0,0
621,9,2019,8,24,35.0,15,0,0
622,9,2019,2,17,141.23,4,12,0
623,9,2019,1,7,87.12,4,12,0
624,9,2019,2,8,132.3,4,76,0
625,9,2019,2,19,33.53,8,0,0
626,9,2019,2,5,18.52,3,0,0
627,9,2019,1,19,141.77,3,0,0
628,9,2019,2,19,42.87,5,0,0
629,9,2019,2,38,33.53,5,0,1
630,9,2019,1,5,1.0,3,98,0
631,9,2019,1,17,8.03,6,0,0
632,9,2019,3,19,34.35,7,0,0
633,9,2019,7,12,27.3,7,1,0
634,9,2019,2,16,36.05,10,0,0
635,9,2019,1,13,22.0,2,811,1
636,9,2019,1,16,33.2,4,0,0
637,9,2019,2,12,26.35,5,92,0
638,9,2019,2,9,26.97,4,20,0
639,9,2019,4,10,102.05,8,18,0
640,9,2019,1,12,80.63,3,7,1
641,9,2019,1,5,37.53,3,5,1
642,9,2019,3,34,67.47,10,4,0
643,9,2019,3,18,38.32,5,0,0
644,9,2019,2,9,131.65,5,1,1
645,9,2019,1,2,98.1,2,0,0
